ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS20702,0.6,1.2,1.0,1.0,1.5,0.5,4.2,1.1,0.8,5.5,5.7,0.5,0.2,0.4,0.7,1.2,1.0,0.7,1.0,0.7,4.7,0.5,1.1,4.0,6.5,0.2,0.2,0.1
DMHDS20226,0.7,1.1,1.1,1.3,1.0,0.9,3.5,1.4,1.3,4.3,6.6,0.3,0.1,0.3,0.5,1.0,0.9,1.1,0.7,0.9,3.6,0.9,1.1,4.4,6.1,0.3,0.1,0.2
DMHDS20784,1.0,1.2,1.3,1.0,1.5,0.7,4.0,1.1,1.1,3.9,5.8,0.4,0.2,0.7,0.8,1.2,1.2,0.7,1.1,0.7,5.1,0.8,1.2,4.6,6.8,0.3,0.7,0.3
DMHDS21230,1.0,0.9,1.3,0.9,1.2,0.8,5.3,1.3,1.5,2.6,5.7,0.4,0.2,0.2,1.0,1.6,1.1,1.0,0.9,0.8,5.4,0.8,0.9,3.4,6.7,0.2,1.0,0.2
DMHDS20918,0.5,0.9,0.9,0.9,0.9,0.8,4.7,1.2,0.9,5.4,7.3,0.5,0.1,0.3,0.4,1.0,0.8,0.6,0.9,0.5,3.0,0.5,0.6,5.4,7.0,0.4,0.1,0.3
DMHDS1021,0.8,1.0,1.0,1.1,1.0,0.7,2.9,1.0,0.7,3.8,5.5,0.3,0.2,0.4,0.7,1.3,1.1,1.2,0.4,0.7,2.8,0.7,0.9,3.2,6.4,0.2,0.1,0.2
DMHDS0349,1.2,1.1,1.2,1.0,1.2,1.0,4.1,1.2,1.3,4.0,5.7,0.8,0.2,0.5,0.3,0.9,0.8,0.9,0.8,0.5,4.7,1.0,1.0,4.0,7.1,0.3,0.2,0.2
DMHDS0702,0.7,1.2,1.0,0.8,1.4,0.7,4.3,1.0,1.1,5.5,5.6,0.4,0.1,0.5,0.8,1.1,1.0,0.9,0.9,0.5,4.5,0.6,1.0,4.2,6.5,0.2,0.2,0.1
DMHDS20299,0.9,1.1,1.1,0.9,1.1,0.7,3.5,1.0,1.3,3.6,6.3,0.5,0.1,0.4,0.9,0.9,1.2,0.6,0.5,0.6,3.5,0.9,1.5,3.3,6.8,0.5,0.1,0.1
DMHDS0223,1.0,1.6,1.0,0.8,0.8,0.8,3.8,1.1,1.4,4.4,7.4,0.5,1.2,0.2,0.8,1.5,1.0,0.8,0.8,0.7,3.4,0.6,1.5,5.1,6.8,0.2,0.2,0.2
DMHDS20500,0.6,0.8,1.1,0.8,0.8,0.6,4.9,1.1,1.7,3.4,5.5,0.3,0.2,0.3,0.6,0.8,1.1,1.0,0.5,0.6,4.4,0.8,1.4,4.5,6.8,0.3,0.2,0.3
DMHDS20482,0.9,1.1,1.5,0.8,1.4,1.0,5.0,1.5,1.7,7.5,7.3,0.5,0.2,0.3,0.8,1.8,1.1,1.0,0.8,1.0,4.6,0.6,0.7,5.2,7.7,0.4,0.2,0.2
DMHDS20540,1.2,2.0,1.4,0.9,1.6,0.8,5.9,1.6,1.8,4.3,7.7,0.5,0.2,0.2,0.9,1.4,1.1,0.7,1.0,0.5,4.8,0.8,1.8,4.1,7.9,0.6,0.4,0.4
DMHDS20903,0.7,1.0,1.2,0.9,1.0,0.9,4.8,2.7,1.1,5.0,7.0,0.6,0.1,0.4,0.8,0.8,1.3,1.0,0.9,0.7,4.9,0.7,0.9,4.9,7.6,0.4,0.2,0.2
DMHDS20774,1.0,1.4,1.2,0.9,0.6,0.9,3.3,1.3,1.1,3.5,5.9,0.4,0.1,0.2,1.0,1.6,1.0,1.2,0.7,0.9,3.2,1.2,1.4,3.8,4.9,0.2,0.2,0.2
DMHDS0399,1.1,1.0,1.2,0.8,1.4,0.9,4.4,1.2,1.7,4.6,6.4,0.8,0.2,0.3,0.8,1.5,1.0,0.9,0.5,0.8,4.3,1.0,1.1,4.3,6.3,0.3,0.1,0.2
DMHDS0540,1.3,2.0,1.3,1.0,1.4,0.8,6.1,1.7,1.8,4.1,7.2,0.4,0.3,0.2,0.9,1.3,1.2,0.8,1.0,0.5,5.1,0.9,1.9,4.3,7.7,0.5,0.2,0.3
DMHDS20223,0.8,1.5,0.9,0.8,0.8,0.7,3.4,1.0,1.4,4.5,8.0,0.5,1.0,0.7,0.6,1.4,0.8,0.7,1.0,0.7,3.4,0.6,1.4,4.8,6.9,0.1,0.1,0.1
DMHDS0903,0.9,1.0,1.2,0.8,0.9,1.0,4.9,1.1,1.3,5.3,6.8,0.6,0.2,0.4,0.6,0.9,1.3,1.0,1.1,0.7,4.9,0.7,0.9,4.7,7.5,0.4,0.2,0.2
DMHDS0918,0.5,1.0,0.9,0.9,1.0,0.7,4.6,1.3,0.9,5.7,7.6,0.5,1.6,0.3,0.4,1.0,0.9,0.6,1.0,0.6,3.3,0.6,0.6,5.1,7.1,0.5,0.2,0.2
