ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS20702,0.025,0.015,0.025,0.014,0.019,0.012,0.020,0.024,0.027,0.036,0.040,0.023,0.016,0.027,0.026,0.015,0.027,0.011,0.024,0.016,0.023,0.015,0.024,0.031,0.037,0.023,0.012,0.015
DMHDS20226,0.029,0.020,0.031,0.021,0.016,0.018,0.020,0.023,0.038,0.031,0.036,0.015,0.011,0.020,0.019,0.015,0.029,0.018,0.024,0.020,0.022,0.027,0.028,0.028,0.034,0.032,0.010,0.019
DMHDS20784,0.033,0.019,0.040,0.017,0.018,0.017,0.020,0.020,0.023,0.025,0.034,0.024,0.014,0.031,0.026,0.017,0.030,0.011,0.031,0.017,0.023,0.026,0.036,0.028,0.036,0.028,0.035,0.022
DMHDS21230,0.028,0.017,0.042,0.018,0.019,0.021,0.026,0.030,0.034,0.021,0.035,0.019,0.010,0.021,0.026,0.017,0.028,0.018,0.025,0.020,0.027,0.023,0.029,0.025,0.036,0.020,0.056,0.018
DMHDS20918,0.020,0.018,0.031,0.014,0.013,0.019,0.019,0.023,0.021,0.026,0.034,0.018,0.008,0.019,0.022,0.014,0.024,0.010,0.019,0.012,0.015,0.015,0.016,0.028,0.032,0.026,0.011,0.022
DMHDS1021,0.032,0.018,0.034,0.022,0.017,0.020,0.021,0.022,0.022,0.030,0.037,0.019,0.014,0.030,0.033,0.020,0.032,0.021,0.014,0.017,0.021,0.027,0.026,0.029,0.038,0.020,0.010,0.021
DMHDS0349,0.037,0.016,0.035,0.018,0.016,0.024,0.021,0.023,0.027,0.026,0.034,0.027,0.015,0.027,0.026,0.025,0.027,0.021,0.021,0.012,0.022,0.020,0.021,0.028,0.040,0.024,0.014,0.018
DMHDS0702,0.028,0.017,0.028,0.012,0.019,0.015,0.021,0.026,0.030,0.035,0.040,0.023,0.013,0.025,0.023,0.014,0.027,0.013,0.021,0.013,0.022,0.017,0.022,0.030,0.038,0.020,0.015,0.011
DMHDS20299,0.028,0.016,0.028,0.015,0.015,0.016,0.018,0.016,0.019,0.026,0.033,0.016,0.008,0.027,0.030,0.013,0.029,0.011,0.014,0.012,0.019,0.018,0.022,0.025,0.034,0.028,0.008,0.015
DMHDS0223,0.027,0.024,0.030,0.014,0.013,0.017,0.020,0.022,0.027,0.026,0.038,0.027,0.060,0.020,0.028,0.024,0.026,0.014,0.021,0.016,0.020,0.022,0.035,0.028,0.036,0.015,0.014,0.018
DMHDS20500,0.026,0.017,0.030,0.014,0.014,0.015,0.020,0.020,0.030,0.022,0.032,0.020,0.010,0.018,0.036,0.012,0.032,0.014,0.014,0.012,0.020,0.022,0.029,0.031,0.037,0.021,0.017,0.018
DMHDS20482,0.032,0.018,0.041,0.013,0.020,0.027,0.023,0.028,0.034,0.036,0.038,0.023,0.017,0.031,0.024,0.020,0.030,0.014,0.019,0.020,0.023,0.019,0.025,0.029,0.040,0.023,0.016,0.018
DMHDS20540,0.033,0.022,0.027,0.012,0.016,0.014,0.021,0.026,0.027,0.026,0.037,0.018,0.011,0.013,0.026,0.016,0.027,0.011,0.019,0.012,0.018,0.017,0.030,0.024,0.037,0.033,0.024,0.021
DMHDS20903,0.028,0.016,0.032,0.016,0.017,0.021,0.022,0.041,0.026,0.028,0.033,0.019,0.007,0.018,0.032,0.013,0.032,0.016,0.020,0.015,0.021,0.023,0.024,0.030,0.037,0.025,0.017,0.019
