ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS20702,393,1125,653,1004,1034,740,3219,791,581,2462,2442,319,205,290,385,1298,665,1073,589,736,3057,609,648,2115,2792,187,226,187
DMHDS20226,344,943,575,961,879,727,2711,890,653,2252,2671,357,184,241,305,1058,635,987,465,698,2632,565,601,2514,2885,199,186,165
DMHDS20784,411,1028,558,936,1113,690,3094,924,748,2509,2713,386,244,379,371,1146,615,989,609,679,3239,634,615,2715,3084,164,293,250
DMHDS21230,405,962,546,881,909,657,2800,816,645,2150,2581,336,185,227,390,1389,678,946,562,641,2722,523,504,2273,2871,201,186,151
DMHDS20918,379,833,572,1003,1021,748,3657,833,686,3288,3464,493,203,250,324,1113,586,953,654,656,3103,626,619,3177,3439,246,253,190
DMHDS1021,324,771,460,739,665,546,2125,721,530,2044,2259,333,174,245,269,921,587,852,399,635,2176,493,548,1922,2521,187,196,181
DMHDS0349,442,1085,539,890,949,668,2946,865,751,2392,2703,395,314,422,164,611,462,728,535,596,3260,842,745,2322,2745,198,257,219
DMHDS0702,365,1095,645,959,1004,742,3125,734,607,2440,2391,320,210,289,361,1234,672,1042,584,714,2961,589,642,2152,2787,177,228,182
DMHDS20299,415,1215,620,957,949,698,3025,1001,1045,2306,2990,379,194,265,369,1070,676,993,475,722,2953,738,1058,2271,3025,218,189,145
DMHDS0223,452,1084,610,920,874,705,2754,859,816,2773,2972,321,202,220,337,1063,610,906,504,653,2857,519,687,2614,3001,175,200,167
DMHDS20500,330,861,593,916,900,653,3759,989,928,2303,2482,305,242,314,269,1062,627,948,512,657,3458,657,830,2224,2851,184,229,213
DMHDS20482,409,1008,598,1015,1071,734,3478,978,824,3093,2951,362,184,254,403,1427,687,1118,582,802,3244,546,548,2944,3252,206,212,196
DMHDS20540,545,1332,822,1229,1233,904,4253,1054,1039,2823,3243,403,210,288,462,1423,763,1208,698,765,3927,745,1088,2715,3289,270,300,246
DMHDS20903,352,1036,589,902,901,725,3095,1123,744,2873,3229,440,232,344,321,973,681,987,552,762,3541,542,574,2715,3232,221,233,199
DMHDS20774,413,1221,596,892,794,672,2745,1016,873,2310,2385,312,210,279,366,1220,610,968,510,644,2682,816,882,2134,2287,166,238,193
DMHDS0399,342,1000,614,872,929,701,3367,863,835,2638,2871,403,172,212,378,1245,679,1032,447,662,2895,636,688,2483,2823,192,185,145
DMHDS0540,579,1345,827,1233,1241,920,4238,1069,1052,2831,3288,407,223,293,469,1454,803,1238,733,770,4015,734,1064,2694,3262,263,253,228
DMHDS20223,453,1102,600,919,878,699,2744,880,809,2800,3046,335,195,247,333,1053,604,900,529,676,2840,528,708,2680,3083,184,206,178
DMHDS0903,345,1036,624,891,913,725,3127,1025,749,2889,3224,433,239,340,320,1002,690,1003,562,768,3629,550,601,2682,3197,227,219,205
DMHDS0918,359,846,576,986,981,761,3558,866,689,3322,3452,480,224,259,314,1095,596,951,645,681,3056,620,623,3129,3422,245,231,187
DMHDS21181,340,886,538,878,847,712,2506,871,819,2002,2344,318,205,292,289,995,578,894,472,655,2451,584,643,2122,2497,160,219,206
DMHDS21222,422,1012,556,973,1005,663,2882,912,834,2666,2949,330,165,199,347,1164,582,905,539,650,2769,697,688,2994,3127,195,220,153
DMHDS20349,422,1069,548,864,911,656,2902,870,755,2406,2647,385,326,416,189,649,489,739,525,573,3125,831,772,2316,2751,196,257,233
DMHDS0299,438,1195,616,948,982,702,3043,1005,1073,2323,3000,387,180,249,375,1133,680,1007,482,707,2966,724,1042,2298,3039,235,204,142
DMHDS0482,371,939,554,899,937,680,2977,912,747,3065,3044,408,185,253,374,1353,660,1076,548,737,2838,535,519,3106,3239,199,220,196
DMHDS20399,347,975,612,867,899,671,3345,856,827,2710,2865,413,160,209,360,1232,678,999,461,656,2876,622,710,2545,2900,197,198,145
