ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS20702,664,2757,757,1522,1076,872,5764,1277,1451,2319,4848,1220,389,503,561,2204,761,1317,1022,862,4848,2237,2366,2253,5184,1392,380,255
DMHDS20226,578,2331,694,1397,851,860,4943,1340,1744,2141,5285,1264,351,430,458,1875,704,1210,802,832,4250,2320,2377,2630,5473,1308,321,227
DMHDS20784,664,2549,671,1514,1129,839,5947,1457,2048,2381,5355,1425,466,665,563,2078,697,1249,1019,820,5084,2524,2425,2864,5600,1260,495,336
DMHDS21230,625,2415,657,1411,910,787,5363,1329,1658,2003,5222,1310,354,427,568,2318,729,1183,932,827,4486,2306,2078,2368,5361,1419,322,209
DMHDS20918,606,2161,706,1615,1033,913,6281,1300,1794,3068,6846,1886,387,473,488,2011,657,1216,999,786,4967,2393,2614,3327,6471,1602,427,270
DMHDS1021,496,1931,553,1137,669,635,4091,1191,1259,1922,4457,1278,356,446,426,1612,642,1051,757,736,3573,1880,1968,2035,4826,1387,352,256
DMHDS0349,694,2713,643,1477,1006,790,5459,1316,1896,2244,5404,1297,552,746,337,1117,536,949,882,718,5335,2897,3031,2420,5137,1270,444,306
DMHDS0702,633,2754,742,1460,1056,865,5598,1212,1503,2291,4832,1224,390,494,526,2134,751,1274,977,857,4656,2184,2330,2294,5114,1344,379,248
DMHDS20299,656,3061,750,1606,944,884,5421,1482,2545,2151,5986,1394,369,498,504,1921,719,1246,870,863,4693,2533,3677,2411,5590,1558,323,223
DMHDS0223,686,2387,694,1365,884,837,5226,1355,2000,2585,5897,1214,364,400,470,1946,675,1122,860,776,4586,2239,2706,2728,5774,1146,347,233
DMHDS20500,585,2355,680,1429,940,813,6835,1548,2214,2179,5023,1277,454,578,476,2330,709,1186,887,782,5486,2497,2878,2340,5389,1210,377,310
DMHDS20482,676,2738,733,1589,1087,904,6113,1547,2090,2903,5810,1423,357,480,573,2408,776,1385,1000,942,5153,2537,2268,3083,6115,1388,369,276
DMHDS20540,854,2993,964,1956,1203,1118,8197,1587,2671,2667,6570,1481,437,568,688,2648,852,1534,1183,939,6330,3136,4137,2873,6240,1905,512,348
DMHDS20903,643,2862,674,1519,909,873,5918,1757,1788,2693,6371,1594,440,594,468,1838,725,1196,950,900,5511,2056,2465,2846,6286,1662,394,277
DMHDS20774,657,2696,715,1408,791,836,5438,1576,2018,2192,4703,1241,400,506,527,2112,688,1227,822,767,4396,2810,2993,2242,4275,1174,397,275
DMHDS0399,590,2433,732,1409,936,862,5954,1314,1963,2486,5739,1574,335,415,541,2199,726,1247,787,791,4494,2213,2813,2616,5652,1396,311,218
DMHDS0540,861,3002,955,1958,1215,1137,8219,1603,2716,2659,6729,1494,441,573,681,2678,892,1563,1179,957,6430,3110,4092,2833,6246,1875,445,335
DMHDS20223,688,2391,678,1371,889,817,5156,1368,1976,2619,6017,1262,374,426,476,1935,672,1107,863,801,4501,2254,2740,2798,5893,1202,365,235
DMHDS0903,644,2875,713,1511,917,873,6041,1666,1779,2701,6365,1583,449,595,457,1927,739,1221,967,907,5659,2101,2577,2825,6198,1680,386,275
DMHDS0918,598,2173,734,1566,998,906,6194,1330,1810,3095,6846,1873,416,484,468,2012,669,1201,981,813,4903,2398,2595,3279,6436,1622,395,267
DMHDS21181,578,2251,651,1396,851,820,4640,1338,1890,1901,4765,1209,390,496,446,1754,637,1126,826,775,3751,2046,2361,2224,4768,1183,394,266
DMHDS21222,669,2455,665,1512,1029,817,5454,1438,1917,2510,5787,1227,322,412,510,2090,650,1145,831,757,4520,2334,2482,3122,5761,1336,387,219
DMHDS20349,668,2617,644,1425,959,786,5338,1336,1890,2270,5314,1282,579,750,352,1167,566,959,871,699,5087,2828,3147,2423,5109,1295,442,311
DMHDS0299,699,3049,750,1608,968,884,5444,1470,2600,2178,6050,1413,360,468,512,2005,756,1265,876,836,4744,2574,3635,2430,5652,1646,334,221
DMHDS0482,642,2539,671,1449,978,833,5319,1411,1859,2859,6001,1562,355,449,560,2276,748,1319,914,860,4564,2387,2205,3222,6106,1428,372,286
DMHDS20399,581,2396,723,1388,924,825,5917,1327,1962,2554,5759,1608,319,408,515,2205,735,1231,808,780,4469,2188,2838,2687,5783,1427,342,209
DMHDS0226,609,2371,682,1427,833,855,4862,1312,1769,2166,5475,1272,341,410,472,1878,715,1203,801,828,4231,2293,2302,2652,5463,1290,327,231
DMHDS20717,931,3729,940,2016,1213,1170,7734,1922,2167,2468,6096,1564,468,610,731,3036,925,1555,1244,1088,5731,3200,3582,2693,5503,1711,579,374
DMHDS21221,629,2053,729,1549,903,827,5164,1319,2034,2996,7576,1547,369,533,526,1983,737,1296,1020,791,4796,2172,2762,3226,7399,1439,367,261
DMHDS21021,499,1860,565,1148,644,639,4073,1195,1287,1900,4427,1256,356,456,433,1612,647,1061,807,767,3797,1954,2000,2082,4794,1404,364,244
DMHDS21133,632,2101,697,1463,949,914,5952,1335,1666,2488,6221,1607,338,443,628,2163,802,1390,900,878,4464,2304,2652,2602,6079,1159,372,230
DMHDS1181,564,2238,648,1372,846,814,4686,1400,1933,1896,4836,1168,382,497,432,1773,651,1121,803,772,3681,2101,2372,2229,4759,1165,382,268
