ID,BA1_exvivo_left,BA2_exvivo_left,BA3a_exvivo_left,BA3b_exvivo_left,BA4a_exvivo_left,BA4p_exvivo_left,BA6_exvivo_left,BA44_exvivo_left,BA45_exvivo_left,V1_exvivo_left,V2_exvivo_left,MT_exvivo_left,perirhinal_exvivo_left,entorhinal_exvivo_left,BA1_exvivo_right,BA2_exvivo_right,BA3a_exvivo_right,BA3b_exvivo_right,BA4a_exvivo_right,BA4p_exvivo_right,BA6_exvivo_right,BA44_exvivo_right,BA45_exvivo_right,V1_exvivo_right,V2_exvivo_right,MT_exvivo_right,perirhinal_exvivo_right,entorhinal_exvivo_right
DMHDS20702,2.038,2.426,1.797,1.882,2.608,2.776,2.949,2.850,2.660,1.435,1.732,2.382,2.971,3.803,1.890,2.386,1.716,1.576,2.602,2.420,2.868,2.754,2.684,1.455,1.753,2.437,3.259,3.686
DMHDS20226,2.406,2.643,1.902,2.088,2.780,2.588,3.179,2.954,2.872,1.443,1.866,2.542,3.022,3.643,2.429,2.356,1.871,1.930,2.939,2.435,3.179,2.857,2.843,1.502,1.883,2.687,3.275,4.010
DMHDS20784,1.649,2.282,1.552,1.645,2.200,1.889,2.800,2.680,2.520,1.161,1.506,2.332,3.026,3.434,1.873,2.258,1.698,1.447,2.140,2.174,2.846,2.730,2.662,1.258,1.583,2.616,3.226,3.693
DMHDS21230,2.199,2.380,1.923,2.024,2.740,2.059,2.890,2.785,2.724,1.616,2.037,2.649,3.192,3.415,2.329,2.413,1.969,1.894,2.413,2.488,2.918,2.762,2.712,1.620,2.038,2.691,2.945,3.454
DMHDS20918,1.915,2.458,1.825,1.854,2.641,2.560,2.796,2.824,2.510,1.492,1.728,2.299,2.929,3.161,1.917,2.317,1.801,1.566,2.591,2.494,2.835,2.740,2.555,1.448,1.721,2.379,2.874,3.094
DMHDS1021,1.662,2.412,1.948,1.984,2.661,2.503,3.008,3.128,2.693,1.289,1.572,2.524,2.860,3.377,2.310,2.520,2.037,1.882,2.918,2.749,3.192,2.913,2.829,1.370,1.819,2.824,3.309,3.536
DMHDS0349,1.857,2.208,1.713,1.948,2.487,2.200,2.769,2.911,2.566,1.396,1.614,2.084,3.220,3.404,2.682,2.581,2.309,2.497,2.197,2.312,2.279,2.787,2.766,1.456,1.750,2.341,3.115,3.270
DMHDS0702,1.773,2.321,1.653,1.627,2.479,2.648,2.788,2.669,2.553,1.301,1.683,2.402,2.891,3.551,1.846,2.243,1.724,1.417,2.365,2.406,2.809,2.674,2.622,1.280,1.706,2.414,3.132,3.690
DMHDS20299,2.487,2.508,1.999,2.373,2.754,2.769,3.019,2.925,2.899,1.390,1.730,2.559,3.117,3.655,2.297,2.344,1.943,1.907,2.825,2.620,2.945,2.843,2.743,1.345,1.804,2.470,3.229,3.325
DMHDS0223,2.153,2.570,2.114,2.009,3.414,3.053,3.174,2.999,2.908,1.808,2.104,2.753,2.626,3.798,2.192,2.394,2.022,1.835,2.775,2.703,3.128,3.101,2.901,1.736,2.140,2.901,3.677,3.987
DMHDS20500,2.413,2.526,2.070,2.286,3.002,2.951,3.071,3.056,2.798,1.770,2.139,2.863,3.358,3.848,2.014,2.136,1.962,1.729,2.891,2.705,2.835,2.749,2.746,1.548,1.906,2.686,3.553,3.628
DMHDS20482,1.832,2.334,1.602,1.769,2.501,1.882,2.799,2.705,2.500,1.490,1.801,2.442,3.019,3.515,1.880,2.402,1.609,1.615,2.572,2.134,2.856,2.754,2.615,1.507,1.881,2.322,3.405,3.438
DMHDS20540,2.243,2.846,2.069,2.168,2.999,3.145,3.082,3.192,2.850,1.564,1.898,2.458,3.246,3.152,2.326,2.652,2.097,1.909,2.870,2.931,3.039,2.981,2.831,1.415,2.050,2.646,3.190,3.381
DMHDS20903,2.105,2.593,1.898,1.986,2.926,2.482,3.080,2.818,2.841,1.481,1.849,2.363,3.154,3.571,2.317,2.417,1.898,1.707,2.814,2.339,3.031,2.904,2.992,1.423,1.915,2.738,3.076,3.250
DMHDS20774,2.175,2.742,2.002,2.143,3.402,3.022,3.524,3.133,2.923,1.621,1.929,2.874,2.588,3.312,2.534,2.739,1.874,1.836,3.193,2.552,3.511,3.184,2.967,1.816,2.119,2.899,3.269,3.429
DMHDS0399,2.266,2.419,1.884,2.020,2.780,2.557,2.698,2.940,2.699,1.501,1.833,2.409,3.189,3.102,1.447,2.156,1.706,1.429,2.426,2.649,2.352,2.561,2.381,1.314,1.583,2.216,2.912,3.100
DMHDS0540,1.954,2.737,1.975,1.997,2.871,2.958,3.026,3.169,2.762,1.415,1.716,2.390,2.834,3.116,2.285,2.614,2.062,1.901,2.849,2.889,2.947,2.889,2.778,1.449,2.078,2.733,3.235,3.283
DMHDS20223,2.116,2.611,2.068,1.975,3.194,2.954,3.165,3.043,2.869,1.681,2.015,2.687,2.790,3.311,2.118,2.361,1.940,1.784,2.615,2.740,3.172,3.042,2.909,1.584,1.988,2.747,3.502,4.066
DMHDS0903,2.091,2.571,1.992,2.066,2.994,2.593,3.056,2.849,2.855,1.479,1.865,2.290,3.122,3.612,2.216,2.396,1.861,1.716,2.771,2.527,3.054,2.901,2.934,1.469,1.908,2.693,3.127,3.318
DMHDS0918,2.499,2.584,1.894,2.096,2.934,2.557,2.997,2.968,2.778,1.676,1.975,2.430,2.853,3.222,1.879,2.320,1.763,1.412,2.512,2.407,2.807,2.724,2.550,1.359,1.682,2.349,2.903,3.090
DMHDS21181,1.994,2.477,1.877,1.961,2.767,2.302,3.025,2.700,2.654,1.406,1.955,2.523,3.321,3.736,2.262,2.320,1.748,1.809,3.070,2.657,3.065,2.900,2.844,1.430,2.013,2.599,3.408,3.596
DMHDS21222,2.301,2.598,1.754,2.028,2.616,1.857,3.071,2.977,2.824,1.375,1.665,2.651,2.971,3.156,1.919,2.381,1.791,1.609,2.693,1.946,2.970,2.915,2.777,1.319,1.826,2.583,2.800,3.406
DMHDS20349,2.060,2.298,1.794,2.018,2.565,2.286,2.809,2.957,2.672,1.429,1.662,2.131,3.070,3.379,2.735,2.545,2.381,2.488,2.261,2.349,2.322,2.730,2.771,1.474,1.763,2.216,2.971,3.328
DMHDS0299,2.304,2.474,1.998,2.330,2.669,2.716,2.986,2.906,2.892,1.462,1.790,2.557,3.374,3.563,2.169,2.321,1.999,1.918,2.811,2.642,2.984,2.861,2.746,1.390,1.864,2.477,3.198,3.392
DMHDS0482,2.132,2.438,1.726,1.814,2.702,2.066,2.879,2.722,2.558,1.482,1.824,2.631,3.012,3.662,2.135,2.471,1.705,1.681,2.710,2.271,2.962,2.838,2.702,1.547,1.970,2.382,3.429,3.494
DMHDS20399,2.235,2.358,1.861,1.995,2.699,2.457,2.635,2.837,2.607,1.456,1.758,2.287,2.890,3.260,1.680,2.182,1.810,1.473,2.346,2.611,2.364,2.556,2.372,1.284,1.519,2.148,2.713,3.092
DMHDS0226,2.290,2.636,1.812,2.012,2.752,2.532,3.189,2.987,2.757,1.379,1.825,2.566,2.751,3.423,2.351,2.358,1.850,1.943,2.964,2.430,3.081,2.790,2.908,1.565,1.984,2.663,3.202,3.959
DMHDS20717,1.683,2.065,1.508,1.565,2.692,2.587,2.540,2.670,2.276,1.258,1.613,2.293,2.901,3.068,1.918,2.184,1.550,1.550,2.506,2.558,2.747,2.705,2.584,1.271,1.564,2.162,3.260,3.072
DMHDS21221,1.811,2.354,1.564,1.605,2.648,2.412,2.685,2.773,2.742,1.500,1.862,2.632,2.464,2.994,2.296,2.397,1.707,1.728,2.545,2.500,2.796,2.818,2.794,1.479,2.115,2.600,2.783,2.948
DMHDS21021,2.039,2.577,2.067,2.304,3.051,2.707,3.246,3.128,2.834,1.527,1.749,2.695,3.150,3.464,2.184,2.361,1.993,1.804,2.716,2.549,3.080,2.835,2.760,1.383,1.701,2.650,3.259,3.651
DMHDS21133,2.361,2.623,1.885,2.077,2.957,2.698,3.004,2.914,2.774,1.761,2.042,2.473,3.643,3.907,2.523,2.712,1.789,2.167,2.989,2.624,3.152,2.894,2.759,1.643,2.144,2.792,3.577,3.886
DMHDS1181,2.034,2.545,1.829,2.006,2.576,2.354,3.033,2.794,2.788,1.418,1.965,2.537,3.475,3.958,2.306,2.372,1.891,1.735,2.928,2.736,3.072,2.948,2.857,1.437,2.057,2.654,3.317,3.551
DMHDS1221,2.352,2.476,1.834,1.978,2.870,2.650,2.885,2.865,2.938,1.633,2.039,2.705,3.085,3.185,2.024,2.196,1.544,1.392,2.344,2.429,2.527,2.636,2.562,1.242,1.896,2.534,2.416,2.759
DMHDS1222,2.225,2.605,1.690,1.983,2.732,2.109,3.015,2.853,2.780,1.377,1.687,2.727,2.978,3.071,2.054,2.512,1.721,1.598,2.811,2.157,2.988,2.946,2.694,1.380,1.916,2.608,2.914,3.487
DMHDS0774,2.304,2.762,1.938,2.241,3.454,2.695,3.590,3.172,3.034,1.725,2.121,3.043,2.846,3.325,2.606,2.709,1.797,1.888,3.047,2.232,3.517,3.074,2.878,1.743,2.133,2.837,3.351,3.319
DMHDS0500,2.391,2.459,2.059,2.252,3.048,3.014,3.044,3.066,2.762,1.749,2.128,2.867,3.129,3.773,1.885,2.018,1.857,1.682,2.782,2.607,2.778,2.729,2.683,1.534,1.916,2.686,3.502,3.587
DMHDS1133,2.251,2.374,1.602,1.866,2.474,2.144,2.761,2.691,2.517,1.623,1.991,2.465,3.361,3.492,2.410,2.342,1.584,1.803,2.671,2.241,2.874,2.550,2.432,1.607,2.079,2.709,3.980,3.689
DMHDS0717,1.967,2.350,1.886,1.772,2.739,2.927,2.753,2.913,2.512,1.542,1.828,2.463,2.960,3.407,1.834,2.128,1.573,1.427,2.382,2.562,2.716,2.726,2.500,1.417,1.685,2.239,3.126,2.894
DMHDS1230,2.349,2.520,1.904,2.029,2.956,2.272,3.040,2.955,2.803,1.740,2.123,2.714,3.477,3.455,2.358,2.491,2.088,1.976,2.637,2.568,2.998,2.921,2.757,1.804,2.159,2.757,3.520,3.567
