ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS20702,2405,1831,5887,2304,1780,9014,10762,9973,2031,8392,7176,5785,5473,10898,2082,4115,4074,2515,2954,1757,9029,3759,13600,9485,2894,16541,22794,14675,11147,10466,962,2298,886,6385,2163,2209,6655,2564,1445,8878,15068,9432,2173,9479,7419,5942,5902,10936,1665,4583,3671,2748,3730,1819,8639,3807,12882,10804,1490,15151,21838,12715,10078,9370,1391,2441,677,6731
DMHDS20226,2217,1804,6367,2861,1535,8914,10637,9901,2237,10909,6882,5448,5548,9082,1836,2971,4843,2632,3483,1628,9644,3268,13377,10488,2802,15664,20362,14608,11932,10082,1199,2597,1348,6527,2239,2021,6495,3564,1532,10075,12913,7917,2079,10279,6639,5830,6024,10237,1619,3598,3834,2761,4010,2180,8599,3046,12904,10907,2126,14985,20921,14537,11635,9196,1342,2276,919,6234
DMHDS20784,2491,1386,7634,1979,2134,11392,11643,12414,3611,8447,8577,4772,5445,9358,1631,3391,4764,2185,3553,1522,7828,2634,11256,10567,2332,18650,23149,14459,11535,11379,1061,2609,977,6053,2100,2873,6460,2661,2405,10171,15597,12515,2847,8547,7998,5297,5857,11011,1688,3776,3825,3002,3548,2121,8294,3043,13156,11341,2502,16943,22242,14347,11288,10405,1199,2412,843,6334
DMHDS21230,1929,1300,5443,2292,1780,11412,12682,10992,3144,11121,8084,6870,6060,11582,2027,3317,4011,2511,3407,1640,8720,3244,11993,11077,1872,14300,22300,15257,11543,13746,867,2405,1036,7276,2331,1445,5835,3335,1824,9366,16353,9851,2504,11126,7665,6695,5860,11662,1714,3457,3186,2643,3280,2104,10211,3342,12648,11669,1803,15315,23281,13445,12209,11941,1286,2631,966,6855
DMHDS20918,2279,2073,4942,3580,2113,11072,13520,10911,2683,13031,7732,6959,5368,10282,1607,3475,4106,2420,3349,2657,9049,3711,13642,12521,3051,14709,22970,12409,11316,9210,694,2002,1009,6878,2085,1553,4926,3363,1574,8753,15509,9885,2649,10282,7382,7452,4992,11687,1510,4321,3733,3042,3571,2715,8420,3884,12817,10800,2572,16106,21811,14467,11899,10052,1102,1994,1004,7741
DMHDS1021,2991,1645,5011,1884,1549,8613,11276,8979,2462,7796,6835,4104,5017,9190,1734,2860,3848,1745,2502,1345,6718,3062,9869,8445,1786,12120,17394,9254,10829,9791,804,2503,908,6925,2139,1320,5576,2571,1691,8337,13783,9752,2598,11204,6583,4489,5704,11746,2030,3586,3412,2185,3809,1400,7839,2894,11343,9241,2170,12105,17732,10656,10339,8747,1018,2906,848,6833
DMHDS0349,2691,1679,5577,2354,2707,10276,12039,13116,2867,7533,7411,5769,6797,10875,2577,3206,4710,2557,3262,1573,8583,3780,10888,9321,2682,15281,21423,11563,12648,13304,1036,3092,859,7111,2602,2161,6678,2783,2220,10009,13591,12713,2543,6897,7064,6000,5653,12693,1872,3618,6172,2684,4525,2017,6847,3434,9333,9602,2734,19513,24795,8225,12350,8025,1245,3192,734,7602
DMHDS0702,2349,1672,5459,2196,1885,8690,10626,10026,1880,8601,7301,5345,5017,10932,1929,3692,3702,2359,2992,1522,8169,3585,12797,9107,2777,15875,21569,14124,10596,10311,970,2337,856,5904,2209,1920,6320,2409,1501,8712,15475,9523,1953,9178,7191,5272,5979,10678,1560,4090,3506,2799,3540,1591,8158,3574,12681,10265,1621,14961,20973,12606,9510,8974,1337,2140,780,6737
DMHDS20299,2446,2505,4665,2685,1657,9367,13339,11989,2548,10306,8896,6521,6654,13795,2032,3471,5792,3267,5229,1411,11564,3893,13349,11688,2583,20387,26822,13976,13688,11204,932,3192,1082,7859,2089,1843,5258,2792,1440,9641,15832,9443,2266,10771,8694,6139,6674,13940,1716,3712,5044,3228,6433,1693,9645,3954,13316,11291,1824,18812,25209,16367,13732,12194,1164,2900,1101,8672
DMHDS0223,2685,1652,6658,3352,1734,9064,11668,13862,3015,12280,9073,7217,6033,13813,1904,3793,4872,2777,4291,2392,9597,3579,13678,12037,3293,18614,24681,14339,12374,10869,1090,2830,1258,7494,2602,2640,5761,3797,1941,11337,14491,11836,3067,12190,8363,7736,6640,12096,1801,4079,3513,3343,4629,2523,8157,3857,13528,12107,2770,18138,23208,16725,11209,10910,1454,3203,860,6863
DMHDS20500,2847,2336,7859,3140,2300,12768,15393,13068,2482,12315,9941,5912,5923,12499,1947,4227,5958,2772,4383,2151,9946,3812,15687,11173,3621,15732,26351,15659,13848,11703,1077,3221,1296,8019,2384,1036,7278,3042,1926,9215,12831,13220,2256,10182,8177,6148,6118,12439,1887,3732,4213,3001,5057,2153,8494,3402,15058,11967,1665,15377,24305,13980,12119,12434,1612,2969,1028,7868
DMHDS20482,2501,1958,5765,2550,1969,8978,13187,9409,2545,11149,6741,6681,5861,11007,1819,3972,4402,2399,4094,2453,8431,3908,12173,9351,2328,17603,23370,12910,12004,10817,1028,2438,1114,6233,2629,2041,7096,2901,1656,8672,14464,10344,3091,12181,6649,6732,5697,11630,1956,3799,3742,2322,3542,2522,9972,3599,13709,9367,2684,19113,22174,11394,12386,9424,1335,2384,789,6470
