ID,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS20702,0.014,0.014,0.022,0.030,0.021,0.032,0.023,0.031,0.028,0.033,0.029,0.037,0.027,0.024,0.021,0.016,0.023,0.037,0.022,0.036,0.019,0.034,0.018,0.024,0.032,0.033,0.025,0.021,0.019,0.022,0.036,0.033,0.030,0.040,0.016,0.023,0.020,0.032,0.016,0.026,0.025,0.029,0.032,0.026,0.035,0.037,0.022,0.025,0.019,0.016,0.017,0.036,0.022,0.033,0.018,0.032,0.021,0.024,0.019,0.034,0.024,0.020,0.016,0.024,0.051,0.037,0.017,0.030
DMHDS20226,0.022,0.015,0.021,0.033,0.026,0.031,0.022,0.035,0.026,0.029,0.035,0.029,0.036,0.028,0.015,0.018,0.023,0.045,0.026,0.033,0.024,0.033,0.021,0.028,0.029,0.035,0.024,0.027,0.021,0.024,0.057,0.053,0.019,0.029,0.014,0.020,0.018,0.035,0.023,0.027,0.029,0.022,0.028,0.030,0.043,0.029,0.029,0.022,0.015,0.020,0.022,0.045,0.025,0.030,0.020,0.030,0.022,0.027,0.025,0.034,0.028,0.025,0.021,0.028,0.052,0.049,0.023,0.026
DMHDS20784,0.017,0.022,0.024,0.028,0.023,0.029,0.021,0.026,0.027,0.029,0.041,0.029,0.023,0.022,0.021,0.020,0.021,0.027,0.019,0.023,0.023,0.040,0.020,0.027,0.027,0.034,0.024,0.022,0.016,0.025,0.053,0.038,0.022,0.033,0.016,0.014,0.022,0.032,0.030,0.030,0.026,0.030,0.031,0.031,0.045,0.031,0.024,0.025,0.031,0.022,0.022,0.028,0.023,0.029,0.019,0.030,0.023,0.029,0.019,0.034,0.026,0.024,0.018,0.027,0.061,0.035,0.029,0.028
DMHDS21230,0.012,0.014,0.025,0.028,0.022,0.028,0.024,0.030,0.030,0.025,0.030,0.029,0.032,0.025,0.011,0.017,0.025,0.036,0.029,0.018,0.022,0.030,0.022,0.027,0.024,0.031,0.027,0.022,0.017,0.028,0.044,0.032,0.020,0.027,0.019,0.011,0.023,0.027,0.042,0.033,0.027,0.036,0.034,0.027,0.036,0.031,0.030,0.029,0.015,0.020,0.023,0.029,0.024,0.025,0.021,0.037,0.022,0.028,0.019,0.037,0.030,0.021,0.021,0.023,0.058,0.043,0.022,0.027
DMHDS20918,0.008,0.020,0.023,0.025,0.024,0.026,0.021,0.026,0.022,0.025,0.033,0.030,0.025,0.017,0.022,0.016,0.024,0.026,0.020,0.027,0.018,0.022,0.018,0.022,0.023,0.025,0.021,0.018,0.015,0.022,0.042,0.032,0.038,0.035,0.015,0.014,0.015,0.032,0.018,0.026,0.019,0.028,0.024,0.025,0.035,0.031,0.026,0.021,0.027,0.017,0.015,0.024,0.019,0.031,0.017,0.026,0.015,0.022,0.021,0.026,0.019,0.020,0.019,0.021,0.037,0.036,0.041,0.027
DMHDS1021,0.025,0.014,0.019,0.028,0.030,0.027,0.023,0.030,0.033,0.030,0.042,0.033,0.026,0.021,0.019,0.025,0.017,0.027,0.025,0.033,0.025,0.029,0.021,0.027,0.029,0.027,0.024,0.025,0.024,0.027,0.040,0.037,0.025,0.039,0.021,0.020,0.024,0.033,0.016,0.030,0.023,0.029,0.029,0.027,0.042,0.037,0.033,0.024,0.028,0.018,0.023,0.029,0.021,0.030,0.025,0.026,0.021,0.028,0.040,0.030,0.026,0.023,0.018,0.027,0.044,0.052,0.027,0.033
DMHDS0349,0.017,0.023,0.021,0.030,0.021,0.028,0.029,0.031,0.036,0.029,0.032,0.029,0.028,0.023,0.020,0.018,0.020,0.026,0.025,0.031,0.024,0.022,0.022,0.029,0.022,0.031,0.024,0.025,0.020,0.030,0.033,0.033,0.026,0.048,0.021,0.014,0.024,0.034,0.022,0.026,0.030,0.035,0.025,0.029,0.032,0.032,0.024,0.028,0.020,0.018,0.018,0.031,0.021,0.034,0.025,0.033,0.024,0.025,0.024,0.026,0.024,0.020,0.023,0.026,0.037,0.038,0.031,0.037
DMHDS0702,0.015,0.018,0.021,0.029,0.022,0.033,0.023,0.027,0.028,0.033,0.028,0.040,0.030,0.026,0.019,0.017,0.025,0.031,0.023,0.037,0.020,0.036,0.019,0.023,0.020,0.031,0.026,0.023,0.018,0.023,0.038,0.035,0.027,0.030,0.016,0.023,0.020,0.034,0.017,0.025,0.025,0.027,0.029,0.027,0.032,0.038,0.025,0.022,0.014,0.017,0.019,0.033,0.022,0.031,0.018,0.031,0.019,0.027,0.019,0.033,0.024,0.020,0.015,0.025,0.047,0.037,0.024,0.028
DMHDS20299,0.012,0.017,0.015,0.026,0.038,0.022,0.025,0.025,0.029,0.026,0.025,0.030,0.022,0.023,0.018,0.016,0.015,0.025,0.019,0.029,0.019,0.023,0.017,0.024,0.015,0.026,0.022,0.019,0.018,0.025,0.033,0.030,0.019,0.030,0.025,0.013,0.022,0.031,0.016,0.021,0.024,0.025,0.030,0.027,0.026,0.027,0.020,0.023,0.018,0.014,0.021,0.029,0.019,0.027,0.017,0.023,0.016,0.023,0.022,0.030,0.023,0.020,0.017,0.025,0.032,0.036,0.020,0.023
DMHDS0223,0.014,0.022,0.020,0.029,0.047,0.027,0.024,0.032,0.030,0.030,0.034,0.034,0.022,0.026,0.017,0.017,0.024,0.030,0.023,0.029,0.022,0.031,0.018,0.025,0.024,0.031,0.026,0.022,0.020,0.026,0.049,0.037,0.027,0.043,0.018,0.022,0.023,0.031,0.023,0.026,0.024,0.039,0.025,0.026,0.041,0.033,0.025,0.022,0.017,0.020,0.021,0.040,0.029,0.030,0.022,0.028,0.020,0.029,0.026,0.031,0.024,0.024,0.018,0.024,0.036,0.048,0.025,0.030
