ID,unknown_left,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,unknown_right,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS20702,0.0000,15.1316,12.2136,6.7058,-0.6340,6.2907,1.2505,2.2029,-1.6930,6.2070,-6.9372,-6.2565,-2.9195,-35.4925,5.1081,5.0078,-2.4231,-0.8423,6.0915,8.3064,0.0821,-1.3935,1.2100,0.2848,1.8187,-35.7894,-0.9300,1.2391,-1.2954,-3.5195,1.8506,12.3969,9.4422,2.5865,-32.4762,0.0000,10.2349,5.9340,9.1621,1.7307,5.0305,4.3347,1.2234,-9.9616,2.8342,-4.5054,-19.5989,-4.3693,-50.7521,-2.7657,-2.5354,-0.4227,-3.0316,-0.2226,10.5254,-5.0434,-2.6200,4.1276,-2.3658,-0.1390,9.3616,3.2737,2.6927,-0.1398,5.6008,4.6066,0.2451,-4.0720,4.9424,-14.2345
DMHDS20226,0.0000,7.6753,16.1384,8.6739,0.6752,0.4901,-10.0496,7.4218,-5.0789,-16.0968,-9.4680,-6.8372,-0.4165,-117.0482,-10.0901,3.2329,-4.2604,4.8468,9.4520,3.1189,-16.9977,-3.9410,1.5892,-0.8151,-5.6190,-65.2669,2.1799,6.3000,0.1242,1.7660,6.0913,5.5287,2.1813,5.6868,-15.5420,0.0000,11.3446,8.1107,8.9709,-1.0135,-0.6181,-1.3668,-0.1520,-5.7798,5.0527,-1.6875,-34.2454,-22.8979,-4.5310,2.6003,5.1230,5.7736,8.3552,8.3394,3.5094,1.8233,-0.1538,6.6961,-0.1788,-42.3232,11.1471,4.0078,1.7386,-2.3030,5.7799,0.5097,10.8203,-0.2523,0.4480,-1.2682
DMHDS20784,0.0000,11.3796,9.2483,0.4457,-0.9520,7.0033,5.5294,0.9629,-4.6841,4.5373,-3.6406,-3.9234,-2.2571,-9.7856,6.7671,1.3825,-0.3642,-5.0555,2.1158,9.2648,2.2812,-4.4650,-6.7306,-9.4626,0.1936,-53.0898,3.8985,1.6493,-1.5843,4.2439,4.5336,2.8696,1.7021,-2.8843,-30.6527,0.0000,11.8050,9.3959,6.0220,0.2777,-2.3670,-10.1952,-1.2053,-5.5645,5.6035,-8.5021,-13.1803,-3.1621,-41.3101,3.9273,-10.8244,-2.9151,3.3822,3.9801,0.5752,-3.0904,-2.1889,-19.3873,-3.0221,1.4120,9.3173,-1.6040,0.8183,-4.6891,3.3376,3.9838,5.4041,2.6092,-9.1677,-4.2097
DMHDS21230,0.0000,10.9229,16.5108,2.7280,1.1271,4.9055,0.2124,1.0244,-6.1166,5.2393,0.5009,-26.0675,-77.4922,-33.8263,4.8178,7.2220,1.3805,-7.6072,-3.5058,3.5821,2.4122,-0.6442,7.8833,-0.6929,-80.5592,-3.7768,-0.3933,-3.3699,-8.2726,1.2937,0.3688,5.1109,8.2395,5.3839,-1.6551,0.0000,8.2940,16.3281,1.0659,-0.1160,-4.2124,-10.1804,-6.0094,-39.7016,-10.6517,-1.2055,-20.2138,-16.5053,-46.3919,-2.0605,5.8155,1.5480,2.9986,-4.2467,3.2588,-0.1268,-5.1873,-8.8761,-18.1780,-0.1887,8.4930,-18.5560,-6.4997,0.1421,1.4818,-4.3761,-4.5672,4.6659,2.7916,-0.5385
DMHDS20918,0.0000,9.7608,11.7244,4.0184,-0.4380,2.2394,-0.0345,5.5558,-7.7915,2.1260,-2.2480,-5.2487,-2.6935,-8.8183,4.8984,-2.8148,2.1089,6.7512,4.7729,5.7780,-5.0694,2.0757,5.6396,-0.1241,1.1167,3.7868,1.0865,7.2242,4.4586,5.6429,5.7574,8.2445,6.7054,-13.9085,-48.6200,0.0000,7.1888,6.6451,6.0413,-0.7528,2.2111,-10.0800,4.2674,-15.0935,-19.3852,-9.9840,-31.3597,-12.9646,-10.6044,-4.3544,-2.2497,3.0350,6.9262,8.2810,6.9525,-3.3591,-3.7171,3.2070,1.2354,3.1872,6.8163,4.7599,8.9005,1.7527,2.9497,6.6486,7.5404,2.8381,-3.6477,-46.8931
DMHDS1021,0.0000,7.9776,9.8482,6.9254,-0.0617,0.9458,0.7365,2.8599,-12.8369,0.7082,-2.9371,-14.4401,-2.0774,-34.9284,6.5026,1.5507,1.8141,9.3309,8.7728,9.8687,-2.0808,-2.5795,5.3856,-0.6039,4.9756,-25.6880,1.3419,4.9447,-0.3189,-9.0815,0.8458,10.6486,0.1662,3.9037,-45.8835,0.0000,5.5447,12.5238,6.7726,2.0881,-1.5628,-9.9232,-5.3079,-5.9122,5.0533,-0.8186,-18.6164,-13.6737,-13.7448,3.1684,3.1888,1.0393,6.0735,5.3547,9.0591,1.1029,0.3869,6.5778,-1.2570,-5.6645,9.5066,2.3137,2.9014,-9.0147,2.4491,-12.5530,1.3151,3.8790,3.0596,-11.5761
DMHDS0349,0.0000,9.9410,-7.1281,3.9170,-3.1754,7.0901,3.6016,4.1825,-8.4810,1.0536,-1.7490,-1.1169,-1.9601,-51.2084,-4.4587,3.7308,-1.6827,3.9467,-0.8321,6.2905,-0.3344,-1.6032,7.2259,-3.6157,-9.1148,-41.2275,3.7991,0.7969,-17.3316,3.0596,-5.2559,3.4229,-10.9768,-1.4901,-29.2007,0.0000,7.0430,10.1133,-0.2523,2.4657,4.0136,2.1854,-18.1554,-6.0408,2.3476,-6.2907,-32.8117,-1.3010,-41.2342,4.9108,3.4040,2.4120,-7.1143,7.6169,9.2854,-25.7025,1.1809,4.4431,-10.4717,-0.7985,11.9759,0.4271,-4.4885,0.9069,-3.2087,1.1971,3.2151,6.6710,1.7035,-47.6066
DMHDS0702,0.0000,13.9578,9.4105,10.0678,2.0018,5.1004,1.1348,3.0713,-1.1697,0.1080,-18.6546,-27.7372,-2.2102,-8.6719,3.8371,6.6395,1.3552,-0.1968,11.1922,6.7851,0.9749,-1.5510,3.5702,-0.7271,3.0846,-18.4959,-16.3573,4.1200,-1.6896,0.0942,3.4806,9.4635,2.7731,4.8884,-4.4167,0.0000,10.9859,4.8852,8.5085,-0.3790,6.6549,-1.2434,-2.4567,-7.0399,2.3669,-5.6154,-21.1873,-1.2200,-41.1647,6.7304,2.5544,1.2087,4.0840,5.7459,9.8061,0.5952,-3.0496,5.6120,-1.3427,3.4682,9.4900,-0.6108,4.4493,0.1521,-1.1611,4.6004,6.0366,7.6332,3.7371,-11.8072
DMHDS20299,0.0000,13.9458,13.8733,7.1773,0.4755,-4.4208,5.2285,4.5124,-4.9522,2.5984,-0.2720,-2.8615,3.8679,-55.2707,-9.5803,5.6520,4.4711,4.1615,8.3224,-7.3632,4.4078,-1.0199,7.7884,-0.4091,5.6233,11.7972,5.4273,9.2003,3.8405,7.0618,6.4403,10.9258,6.4775,4.5293,-2.9107,0.0000,8.9917,12.3486,8.8817,1.5684,3.2675,1.6104,4.8821,-5.8127,-3.0128,-1.5176,-1.2246,-1.8050,2.1438,-2.1319,-2.8517,1.5321,9.1689,8.1354,10.3056,-0.2705,-2.5227,9.4371,1.3459,1.9609,12.3477,5.0476,2.9655,1.1023,2.5103,-3.2566,12.0633,6.5675,4.4200,-7.6909
DMHDS0223,0.0000,10.0247,-1.3999,3.8588,-1.5768,-4.6695,3.2158,-0.8122,-13.5083,2.2079,-1.8750,-12.5017,-31.6333,-30.0067,-3.0275,-2.2808,1.4350,-8.5989,6.0356,4.2022,-3.3779,-5.3982,5.2593,-9.4497,-50.2731,-51.7437,0.2520,-20.9180,3.1925,1.3105,3.5019,2.7319,4.0946,2.4435,-32.1360,0.0000,10.2252,9.2881,0.8375,1.0856,1.9267,-0.5799,0.4939,-38.4799,7.1112,-3.6086,-18.8021,-2.2310,-9.1440,1.9151,4.1305,0.4121,5.1345,3.5937,2.4484,-11.3648,1.2553,4.6039,-0.1719,-1.0886,9.7873,-18.8222,3.5566,-7.2338,-1.0912,0.7075,8.5721,-1.7477,6.3625,-9.0310
