ID,unknown_left,bankssts_left,caudalanteriorcingulate_left,caudalmiddlefrontal_left,cuneus_left,entorhinal_left,fusiform_left,inferiorparietal_left,inferiortemporal_left,isthmuscingulate_left,lateraloccipital_left,lateralorbitofrontal_left,lingual_left,medialorbitofrontal_left,middletemporal_left,parahippocampal_left,paracentral_left,parsopercularis_left,parsorbitalis_left,parstriangularis_left,pericalcarine_left,postcentral_left,posteriorcingulate_left,precentral_left,precuneus_left,rostralanteriorcingulate_left,rostralmiddlefrontal_left,superiorfrontal_left,superiorparietal_left,superiortemporal_left,supramarginal_left,frontalpole_left,temporalpole_left,transversetemporal_left,insula_left,unknown_right,bankssts_right,caudalanteriorcingulate_right,caudalmiddlefrontal_right,cuneus_right,entorhinal_right,fusiform_right,inferiorparietal_right,inferiortemporal_right,isthmuscingulate_right,lateraloccipital_right,lateralorbitofrontal_right,lingual_right,medialorbitofrontal_right,middletemporal_right,parahippocampal_right,paracentral_right,parsopercularis_right,parsorbitalis_right,parstriangularis_right,pericalcarine_right,postcentral_right,posteriorcingulate_right,precentral_right,precuneus_right,rostralanteriorcingulate_right,rostralmiddlefrontal_right,superiorfrontal_right,superiorparietal_right,superiortemporal_right,supramarginal_right,frontalpole_right,temporalpole_right,transversetemporal_right,insula_right
DMHDS20702,7364,1295,918,3040,1908,617,3992,5902,4373,1238,7080,3459,4179,2685,4366,988,2470,1785,901,1413,1986,6328,1606,7316,4695,1088,7813,9928,8781,5269,5195,361,581,628,3227,7524,1170,903,3342,2043,537,3700,8005,4344,1158,7551,3080,4614,2492,4479,854,2620,1911,1161,1816,1812,6329,1438,7604,5181,567,7385,9761,8243,4807,4663,486,557,433,3315
DMHDS20226,7560,1007,872,2879,2347,542,3787,5150,3924,1197,7757,3063,4342,2324,3597,947,1722,2098,908,1561,1724,5877,1457,6897,5120,1121,7026,8432,8105,5107,4686,377,524,824,3133,7599,1115,995,2947,2692,465,4252,6279,3598,1024,7275,2863,4694,2322,3896,865,2006,1781,1014,1744,2193,5482,1354,6986,5177,830,6889,8501,8443,4762,4508,389,432,515,2906
DMHDS20784,7886,1432,787,3981,2359,790,5363,6729,5980,1714,7260,4357,4385,2932,4695,924,2202,2316,1108,1789,2068,6307,1369,7278,5854,1021,9805,10332,9433,5625,6192,388,748,698,3088,7923,1199,1587,3363,2793,764,4638,8467,5780,1349,7203,4260,4950,2803,5135,910,2364,1938,1257,1857,2446,6250,1604,7632,6152,1165,8666,9900,8522,5316,5574,494,684,580,2943
DMHDS21230,7922,1160,735,3089,1734,600,5008,6724,4886,1550,7834,4175,4856,3128,4174,967,1850,1997,1032,1718,1594,5919,1506,7317,5781,935,7621,9809,9142,5165,6863,350,686,703,3411,7503,1085,796,3032,2461,554,4429,8312,4558,1229,7577,3925,5015,2772,4615,870,2134,1656,1052,1756,1983,6480,1334,7487,5876,759,7531,9846,8218,5413,5970,538,620,557,3268
DMHDS20918,7890,1447,975,2823,2946,761,5336,7460,5815,1644,10703,4108,5325,2920,5172,1045,1959,2047,1197,1751,2656,6131,1818,7857,6573,1252,8354,10924,8214,5748,4907,331,618,708,3985,8373,1349,1007,2651,2756,642,4628,8935,5113,1591,8896,3869,5802,2800,5769,952,2558,1951,1426,2119,3035,5881,1816,7256,6001,1071,8910,10122,9179,6163,5380,432,655,651,3982
DMHDS1021,7368,1585,751,2545,1834,616,3939,5727,4216,1230,6780,3417,3817,2254,3949,924,1617,1768,768,1378,1675,4911,1347,5748,4339,741,5893,7534,5851,4999,4941,287,609,584,3654,7712,1106,617,2538,2192,541,3791,6586,4339,1111,7616,3098,3667,2308,4366,893,1983,1603,898,1675,1735,5017,1104,5860,4496,693,5521,7143,6159,4140,4285,331,685,441,3105
DMHDS0349,8423,1518,731,3232,2148,974,4686,6771,5939,1468,7385,3803,4776,3289,4727,1316,2047,2174,1101,1667,1821,6340,1650,7151,5186,1012,8041,9629,7910,5537,7339,386,695,681,3558,7570,1494,947,4001,2269,730,4353,7147,5652,1171,6647,3408,4849,2726,5554,919,2058,2881,1168,2231,2016,3903,1474,6964,5409,1052,10305,12446,5925,5825,4017,468,677,574,3846
DMHDS0702,7246,1283,818,2936,1955,685,3931,5668,4384,1197,7037,3532,4339,2648,4291,999,2294,1740,878,1506,1942,6166,1688,7234,4687,1085,7762,9668,8706,5041,5274,339,636,617,2945,7101,1201,837,3257,2096,570,3869,7982,4466,1119,7309,3145,4786,2580,4437,791,2576,1795,1196,1794,1801,6158,1463,7564,5108,592,7554,9333,8001,4617,4676,519,535,501,3341
DMHDS20299,8472,1397,1234,2496,2285,574,4402,6734,5738,1488,8353,4480,4746,3113,5612,1049,2061,2750,1364,2486,1705,6906,1830,7180,6464,1165,10066,11855,8475,6070,5545,361,830,722,3711,8178,1224,987,2641,2308,481,4559,8323,4626,1364,8507,4153,4765,3025,5724,1058,2129,2418,1279,3249,1855,5880,1944,7230,6329,778,10048,11172,9692,6289,6437,471,660,710,4008
DMHDS0223,7511,1233,828,3146,2247,709,3785,5526,5360,1503,8007,4055,4955,2462,4915,855,1921,2233,1023,1947,2258,6400,1457,6920,5638,1088,8589,9949,7437,5269,5040,386,657,654,3562,8089,1174,1119,2705,2539,468,4748,6497,4792,1332,7750,3827,5132,2856,4779,848,2071,1662,1178,2124,2342,5588,1675,7233,5810,950,8331,9471,9430,4913,5162,473,554,490,2926
